2018-Jun-07 00:31:37.433646 TRACE   [node_server] [144.217.150.133:15715 OUT] REMOTE PEERLIST: 
2018-Jun-07 00:31:37.433727 DEBUG   [node_server] [144.217.150.133:15715 OUT] CONNECTION HANDSHAKED OK AND CLOSED.
2018-Jun-07 00:31:37.433852 TRACE   [node_server] [144.217.150.133:55950 INC] Exception in connectionHandler: TcpConnection::read
2018-Jun-07 00:31:37.433905 DEBUG   [node_server] [144.217.150.133:55950 INC] Interrupt connection
2018-Jun-07 00:31:37.433951 DEBUG   [node_server] [144.217.150.133:55950 INC] writeHandler finished
2018-Jun-07 00:31:37.433990 TRACE   [node_server] [144.217.150.133:55950 INC] CLOSE CONNECTION
2018-Jun-07 00:31:37.922508 TRACE   [node_server] [96.44.175.218:21237 INC] NEW CONNECTION
2018-Jun-07 00:31:37.922714 INFO    [protocol] [96.44.175.218:21237 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:31:37.922714 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:31:37.923692 DEBUG   [protocol] Remote top block height: 23, id: 1f3211a188d35c36409569ae4648e4937935cb73c4d53f36c0f86b8fc777d216
2018-Jun-07 00:31:37.923763 TRACE   [protocol] [96.44.175.218:21237 INC] requesting synchronization
2018-Jun-07 00:31:37.923828 TRACE   [protocol] Observed height updated: 23
